Loan.Id,Current.Loan.Amount,Term,Credit.Score,Years.in.current.job,Annual.Income,Monthly.Debt,Years.of.Credit.History,Number.of.Credit.Problems,Current.Credit.Balance,Maximum.Open.Credit,Loan.Status
37,489800,0,722,1,1173460,2268.7,25.5,1,2830,47910,1
38,682000,0,722,8,344760,7757.1,13.8,0,330690,352920,1
39,3220900,1,-1,9,-1,15276.8,30.2,0,347700,657280,0
40,496500,0,743,10,1151880,16990.2,21.6,0,346140,591690,1
41,888700,0,722,10,355460,9064.3,14.9,0,139500,236040,1
42,10000000,0,742,7,986600,8879.4,21.5,1,108190,246440,1
43,627800,0,741,1,816720,19941.5,24.7,0,238240,292320,1
44,1955200,0,-1,7,-1,4212.5,16.9,0,195790,331290,1
45,789900,0,-1,6,-1,6526.9,15.4,0,102120,146090,0
46,10000000,0,736,10,837250,9070.2,23.7,1,65430,93610,1
47,1229800,0,-1,10,-1,12681.9,23.5,0,150730,412950,1
48,1467500,0,-1,5,-1,10594.2,9.3,0,56530,389830,1
49,392800,0,-1,6,-1,1600.8,18.4,0,63440,138530,1
50,10000000,0,751,4,1454990,20369.8,21.4,0,132110,431730,1
51,1415500,0,743,1,589800,10124.9,15.8,0,192400,562580,1
52,10000000,0,738,8,1186320,18190.2,18,0,248460,316520,1
53,2065600,0,726,10,983600,12786.8,17.1,0,60560,77740,0
54,998100,0,-1,10,-1,6866.9,10.7,0,63050,467040,0
55,2027900,1,-1,10,-1,14743.8,32.6,0,507040,855050,0
56,991100,0,719,2,495590,6855.6,15.8,0,7500,32770,1
57,2179500,1,680,10,1069960,15514.4,12.8,0,355240,586200,1
58,1843200,1,-1,10,-1,14202.9,27.4,0,242700,369410,0
59,495900,0,719,4,1249670,18120.2,14,0,245490,323440,1
60,1577500,1,672,5,467360,9152.6,8.7,0,80120,99160,1
61,2446600,0,-1,10,-1,5908.2,17,0,58420,142840,1
62,520400,0,746,1,461490,776.9,21.7,1,27880,108050,1
63,1014100,0,693,1,791000,1812.7,7.6,0,66400,88190,1
64,1232200,0,724,9,359300,7335.6,11.1,0,54440,69790,1
65,476400,0,741,6,794080,9859.8,36.2,0,61580,78850,1
66,1081400,0,723,-1,529150,10494.8,30.3,0,284710,448360,1
67,10000000,0,734,7,541180,4870.6,13.9,0,29890,56180,1
68,3567600,1,664,10,2548250,11913.1,24,0,78850,95810,0
69,1224100,0,-1,10,-1,7883.4,23.8,0,200050,519620,1
70,194800,0,742,5,283280,7577.6,10.8,0,27710,230920,1
71,10000000,0,750,2,850680,8010.6,20.9,0,42180,85050,1
72,1570400,1,698,10,500570,8718.2,28,0,198690,228110,0
73,1476300,0,709,8,885780,18313.5,22.3,0,337500,401310,1
74,2033400,1,-1,8,-1,11194.7,15.9,0,296310,790150,1
75,1775000,0,-1,10,-1,10045.9,23,0,29740,252040,1
76,3427600,0,678,1,1468950,14077.4,15.7,0,16560,110400,1
77,988600,0,-1,6,-1,5170.9,13.7,0,166580,210860,1
78,1004700,0,709,10,602820,5224.4,14.5,0,232180,531300,1
79,1859900,1,728,5,587340,9740.1,12.5,0,45940,264020,0
80,10000000,0,742,5,1051370,7114.2,8.2,0,125700,220150,1
81,793400,0,-1,6,-1,3336.6,19.8,0,2580,859560,1
82,797000,0,697,8,1143640,16296.8,29.4,0,43830,140490,1
83,598900,0,737,10,578900,9696.5,30.5,0,255290,415110,1
84,495400,0,711,6,1030050,3888.5,16.5,0,108810,236550,1
85,2014200,1,741,9,654620,9710.2,13.4,0,75470,449240,0
86,510000,0,-1,-1,-1,11424.5,16.9,0,193510,286260,1
87,702500,0,732,10,324640,6465.7,11.6,1,69140,160790,1
88,991900,0,742,1,813360,8472.5,7.9,0,123890,155640,1
89,1495200,0,-1,5,-1,8734,20,0,100150,242490,1
90,2016000,0,-1,9,-1,28224,33.4,0,530490,656550,1
91,1199200,0,743,5,379770,6674.5,19,0,96600,264660,1
92,3433200,1,740,2,882810,640,25.5,0,23650,716660,1
93,1209700,1,723,10,705670,12055.2,15.8,0,325730,399180,1
94,3551100,1,629,10,2029200,33312.7,19.6,0,690160,1175740,1
95,3584700,0,-1,10,-1,22276.4,17.5,0,521720,795300,1
96,2443500,1,681,2,928530,2716,20,0,113640,344370,1
97,596700,0,743,10,865220,17881.1,25.6,0,424290,702480,1
98,2449600,1,677,10,550370,4224.1,24,0,111890,253720,1
99,357200,0,699,-1,603720,6540.3,40.5,0,163620,258480,1
100,1536500,0,732,10,563370,7511.5,17.3,0,63890,131180,1
101,1219800,0,699,1,1168980,7890.6,24.2,0,108720,112780,0
102,1632600,1,746,1,979580,4563.2,11.4,0,45370,432070,1
103,1423000,0,697,10,630170,10555.3,18.8,1,223620,350500,0
104,964100,1,731,1,281200,3716.6,12.7,0,21610,216130,1
105,726700,0,739,1,388580,6023,11.6,0,99410,196840,1
106,1079200,0,-1,6,-1,7188.2,5.9,0,94710,201930,1
107,247200,0,-1,10,-1,5086.2,30.2,0,156380,310280,1
108,1012400,0,731,1,607440,7998,6.5,0,141640,185160,1
109,1815800,1,-1,5,-1,12240.1,12.1,0,208860,440630,0
110,1505400,0,-1,6,-1,11681.9,14,0,192940,295020,1
111,992200,0,742,1,1012040,4368.7,17.6,0,255780,396550,0
112,1195400,0,-1,2,-1,7720.6,13.1,0,121220,141440,1
113,1007200,1,661,4,654680,2891.5,17.9,0,60780,524010,0
114,1003200,0,736,1,561790,11984.9,23.7,0,111500,187700,0
115,981700,0,718,8,373050,6403.9,11.3,0,113970,137480,0
116,2761400,0,654,10,1134130,14176.6,17.5,0,183440,201150,1
117,667500,0,-1,5,-1,11260.3,10.3,0,89260,107670,1
118,3552500,0,746,5,1035300,11906,39.8,0,370520,908130,1
119,411200,0,749,10,869350,7461.9,15.3,0,109110,343110,1
120,641900,0,743,-1,280810,6060.8,12.5,0,28630,71230,1
121,667300,0,-1,10,-1,7953.9,19.4,0,57290,338980,1
122,1625300,0,743,10,660270,3207.8,22.4,0,99570,310180,1
123,1251400,0,-1,8,-1,9700.7,23.9,0,250930,402120,1
124,1518900,1,710,9,911340,10784.2,15.9,0,129620,360060,1
125,1072200,0,746,2,670250,7300.2,31.7,0,191130,767600,1
126,1503000,1,-1,4,-1,6475.4,5.5,0,114920,337000,0
127,117700,0,748,8,539330,6696.7,10.2,0,16100,223640,1
128,10000000,0,721,9,630730,5413.8,23.6,0,49010,49860,1
129,10000000,0,746,10,1372690,10478.2,32.4,0,125860,703120,1
130,1824100,1,635,3,2432160,14126.8,17.8,0,157100,250160,1
131,2455200,1,683,1,1278750,12361.2,17,0,171590,218860,1
132,816400,0,722,10,510250,6803.4,17.5,0,109500,171360,1
133,299900,1,-1,5,-1,2468.8,10.6,0,25140,41010,1
134,991600,1,669,6,356980,5711.6,17.7,0,92250,112090,0
135,1615400,0,738,10,585570,4718.7,17,0,105050,381990,1
136,1493100,1,707,3,557420,6689.1,7.8,0,61590,76600,0
137,982100,0,697,3,589260,6884.5,12.3,0,40580,83500,1
138,2085700,0,679,10,783400,9074.4,23.2,0,81180,122070,0
139,830700,0,-1,3,-1,5471.4,12.8,0,64540,93540,1
140,1721700,0,-1,5,-1,26901,24.7,0,547120,816600,1
141,3537800,0,680,7,1314040,34603,30.1,0,491440,512460,1
142,1277400,1,586,1,427830,4848.8,11.9,0,141290,162220,0
143,1297400,0,750,2,818360,11388.9,15.1,0,101730,246310,1
144,1533900,1,725,10,910110,11452.3,18.9,1,21460,83840,1
145,1870200,0,-1,5,-1,18494.5,20.2,0,325220,480380,1
146,10000000,0,747,10,771970,8620.3,20.9,2,146610,188930,1
147,2959500,1,663,1,1578400,26964.3,15.1,0,229630,274670,0
148,1547700,1,691,10,410040,11036.9,15.9,0,81960,105070,1
149,549200,0,687,4,510900,12261.6,12.5,0,64460,95070,0
150,1098400,0,-1,10,-1,5820.7,25.4,0,101670,125820,1
151,2544300,1,-1,8,-1,18920.8,17.4,0,482230,546740,0
152,1666700,0,-1,1,-1,23246.1,27.2,0,137350,228910,0
153,1537700,1,649,9,480200,7082.9,7.6,0,135040,202150,1
154,10000000,0,729,1,474960,6095.3,10.2,0,72500,80110,1
155,2988600,1,697,10,836810,11645.6,10.5,0,15580,62820,1
156,2937600,1,-1,10,-1,6454.6,27.3,0,128970,256400,0
157,1309700,0,740,5,511600,8142.9,21,0,100350,266870,1
158,972200,0,-1,6,-1,3955.2,10,0,162900,212380,0
159,1527300,1,678,10,615000,13735,19.7,0,44620,50250,1
160,2225100,1,-1,4,-1,20684.4,21.9,1,131010,198200,0
161,10000000,0,719,10,396160,4126.7,30,1,53070,160320,1
162,10000000,0,742,10,599520,10491.6,14.9,0,56220,217930,1
163,3448300,0,719,7,919860,25296.1,26.4,0,504500,809790,1
164,1175500,1,666,10,813070,16125.9,11.4,0,338800,433810,0
165,1211400,0,726,8,787410,6489.6,19.2,1,199230,223110,1
166,535100,0,-1,1,-1,10460.8,12,0,0,0,1
167,10000000,0,718,8,702660,11066.9,14.7,0,142920,152530,1
168,1019600,0,739,4,428230,7279.9,12.5,0,49920,87740,0
169,10000000,0,741,5,352420,1691.6,13.5,0,18700,249370,1
170,1317200,0,745,1,770030,11229.6,13.7,0,156020,270870,1
171,1985600,0,-1,1,-1,7247.4,34.5,0,220050,254110,0
172,2096400,0,722,1,856720,15492.2,15,0,268800,341550,1
173,348500,0,696,3,197740,6294.8,17.7,1,88670,150280,1
174,1170200,0,739,10,546110,9466,29.1,0,100900,347940,1
175,790300,0,-1,4,-1,4404.4,9.5,0,63390,136330,1
176,1979000,1,657,-1,812400,196.3,16.5,0,0,0,1
177,2890800,1,666,10,715250,12057.9,18.2,0,216980,244350,0
178,2480300,1,-1,-1,-1,14908,41.9,0,316800,912960,1
179,390900,0,-1,8,-1,8778.5,10.3,0,145210,197030,1
180,2738400,1,720,2,929100,11226.7,22.6,0,166780,214090,1
181,2796600,0,707,2,1248500,6596.3,10.9,0,105800,166880,1
182,1610800,1,614,2,537740,12367.9,7.9,0,99370,106630,0
183,1227500,0,744,9,705600,15993.6,26.7,0,149660,265340,1
184,1227800,0,713,1,429740,9311.1,9.3,0,130210,218120,0
185,1223800,0,-1,1,-1,10062.1,14.2,1,94290,172380,1
186,1514400,0,750,10,1009600,13966.1,23.3,0,170520,272400,1
187,10000000,0,718,5,285310,6966.4,16.5,0,93800,119190,1
188,762100,0,-1,4,-1,16439.5,31.5,0,428330,594080,1
189,838600,0,741,4,399320,7420.7,10.5,0,54910,185490,0
190,1618100,0,746,10,606780,9657.9,23,0,233980,325430,0
191,2046200,1,695,2,1023100,4757.4,17,0,40630,87180,0
192,860300,0,742,10,250830,2445.5,19.6,1,113310,222180,1
193,751000,0,739,10,540700,12526.3,14,1,48020,185410,0
194,720900,0,-1,5,-1,5461.8,21.4,0,108860,202720,1
195,490800,0,-1,2,-1,8264.2,19.5,0,103920,104030,1
196,1524300,1,-1,2,-1,6435.9,19.8,0,181300,306770,0
197,609800,0,728,2,711480,1938.8,21.8,2,41190,71150,1
198,10000000,0,739,6,534710,5480.9,19.6,1,60430,863250,1
199,2842000,0,721,10,812000,15022,29.3,0,454060,683830,1
200,10000000,0,713,4,648250,11128.3,27.8,0,40460,88530,1
201,987000,0,744,10,548350,7676.9,19.3,0,248140,454470,1
202,916700,0,720,5,387070,4354.5,9.1,0,65350,127400,1
203,608000,0,722,10,345570,5183.5,20,0,134690,158090,1
204,1223900,1,-1,4,-1,10433.6,20.3,0,144720,171270,0
205,10000000,1,675,5,698180,15709.1,14,0,150550,182480,1
206,3474400,0,-1,10,-1,13714.7,39.5,0,337410,579740,1
207,1175900,0,742,10,979900,12820.3,28.9,1,31380,184560,1
208,1218500,1,715,4,883400,11999.5,30.6,0,529520,545330,0
209,2507500,1,614,10,1053150,7951.3,23.4,0,272920,285470,1
210,1859600,0,751,7,588780,4641.5,15.1,0,39420,157050,0
211,10000000,0,738,10,693460,12540.2,20,1,3020,15330,1
212,1581900,1,625,10,435030,10513.1,20.6,0,160030,180010,0
213,122100,0,749,4,325470,4041.2,33.5,0,134980,833210,1
214,2118500,1,716,10,539440,9709.9,23.7,0,129140,175470,1
215,1173500,0,-1,10,-1,12985.8,16.1,0,138050,398990,1
216,477900,1,-1,10,-1,1065.4,25.1,1,36670,51800,1
217,1809200,0,-1,10,-1,14106.3,20.6,0,274400,463500,1
218,1718200,1,683,5,1111770,23069.2,15.1,0,166490,224390,1
219,98100,0,723,10,588660,12509,27.7,0,9900,83190,1
220,630100,0,722,-1,143450,2833.2,20.9,0,30300,85600,0
221,99700,0,-1,10,-1,8083.6,38,0,105620,127560,1
222,10000000,1,688,10,471260,10642.7,19.2,0,244460,248430,1
223,2038900,0,704,10,486290,10212,24.7,0,242980,397030,0
224,967400,0,749,1,665080,10087.1,14.3,0,44470,128890,1
225,673900,0,742,1,590280,11658,20.5,0,269680,407370,0
226,1431100,1,705,4,459990,4369.9,9.5,0,73800,107270,1
227,10000000,0,733,10,765450,6633.9,15,2,43990,287500,1
228,1175400,1,724,10,470160,9128.9,15,0,161010,291690,0
229,10000000,0,727,3,296730,5909.9,6.5,0,70840,182100,1
230,2063700,0,747,10,1572320,11805.5,32.9,0,310980,519160,0
231,834800,0,732,1,250440,3860.9,12.8,0,109110,191420,1
232,335800,0,-1,2,-1,5912.2,14,0,34080,160730,1
233,1215200,0,742,5,920970,12433.1,17.5,0,33360,67530,1
234,1667300,0,746,10,1256090,25121.9,30.8,0,264830,569520,1
235,717300,0,-1,10,-1,18467.7,21.7,0,353400,509220,1
236,252900,0,747,10,485620,3358.8,17.7,0,111690,157750,1
237,1527200,0,739,4,447960,8623.3,10.5,0,143740,457760,1
238,621000,0,706,1,596160,9936,19.7,0,105530,110270,0
239,10000000,0,742,6,539110,3063.9,9.7,0,119340,310780,1
240,1183900,0,736,1,591960,5475.6,11.4,0,48330,82900,1
241,1222000,0,734,2,610980,9266.5,20.6,0,440170,1186440,1
242,10000000,0,736,10,591540,5323.9,28.8,0,118420,334510,1
243,1885200,0,706,10,612750,7761.4,10.5,0,135880,362350,0
244,978500,0,701,10,1272050,9455.5,15.3,0,67510,211620,1
245,10000000,1,719,2,503350,14009.9,8,0,202290,500710,1
246,1203700,0,729,10,601860,4453.8,22.8,1,85280,148580,1
247,1745500,0,-1,6,-1,10237.5,19.8,0,226380,243160,1
248,1392000,1,726,3,397720,4242.4,9.7,0,11220,105810,0
249,1959000,0,728,8,748960,10860,17.8,0,9710,28390,1
250,593700,0,712,8,351270,6791.2,12.8,0,54250,54410,1
251,2346700,1,678,2,821350,11498.9,26.6,0,268040,660210,1
252,2474300,0,720,10,791760,9897,12.8,0,207990,324470,1
253,1774100,0,741,-1,679660,11497.5,25.1,0,193260,661860,0
254,2119100,0,750,3,1513650,13875.1,24.5,0,188380,435050,1
255,390500,0,718,1,400280,5103.6,12.1,0,147960,172840,1
256,1225800,0,735,10,817200,4569.5,26.3,0,187310,320740,1
257,2500300,1,719,10,559570,6248.6,18.1,0,256940,340780,0
258,1148000,0,-1,1,-1,5656.3,13.2,0,68400,91440,0
259,887100,0,-1,3,-1,2423.6,9.2,0,79210,98520,1
260,1187200,1,715,1,395720,6232.6,12.1,0,65200,121650,0
261,2421100,1,713,6,726340,18521.6,10.3,0,299030,418800,1
262,1320600,1,614,6,509600,2373.9,12.5,0,55390,64710,0
263,10000000,0,740,1,266270,5769.3,10.9,0,56490,126370,1
264,849600,0,712,4,375740,6199.7,15.6,0,119160,174980,1
265,1381000,1,659,1,424150,6680.4,5,0,33740,76000,1
266,3167400,0,746,3,1682660,15424.4,15,0,293350,774000,1
267,2158600,0,-1,10,-1,20610.1,29.6,0,232290,234170,0
268,1932700,0,-1,10,-1,13995,25,0,371790,406770,1
269,2987200,0,702,6,788400,7292.7,15.2,0,68870,78800,1
270,1115100,1,709,4,1064390,27407.9,22.7,0,48270,71940,0
271,2001600,0,717,10,880700,13357.4,23.8,0,241090,332090,1
272,1005400,0,729,6,382050,9774.2,14.5,1,95150,172060,1
273,1105500,0,721,10,408190,2394.7,14.7,0,85840,157500,1
274,1196000,0,750,3,757490,5094.1,17,0,13130,397770,1
275,698400,0,727,2,265070,5632.7,9.5,0,50120,112120,0
276,2574200,0,613,10,1438400,10788,11.2,0,114790,213370,0
277,3259500,1,686,10,814880,6695.6,27.8,0,102040,115040,1
278,636100,0,724,10,733950,7890,16,0,117210,141900,1
279,479500,0,-1,1,-1,5088.7,7.7,0,50710,66550,1
280,10000000,1,731,1,854420,13741.9,14.9,0,119300,133740,1
281,2773700,0,-1,10,-1,57785,25.8,0,1238650,2310910,1
282,979200,0,707,2,440640,7050.2,43,0,103320,127240,1
283,978100,0,701,10,361900,9379.2,18.1,0,238340,309140,1
284,700700,0,735,10,700700,7999.7,27.5,1,52270,70070,1
285,3426500,1,692,5,783200,19188.4,26.5,0,323810,671810,1
286,3500700,1,704,6,2500500,9897.8,13.5,1,160300,232330,1
287,589600,0,745,2,245650,3541.5,8.9,0,61270,129820,0
288,10000000,0,720,10,380950,9650.8,14.3,3,24360,43120,1
289,1895000,0,738,10,927780,3347.7,16.8,0,3450,265730,1
290,1271900,0,-1,8,-1,3862.2,26.7,0,80380,194630,1
291,2832300,1,624,10,748070,10660,16.7,0,128170,184140,0
292,1612300,1,-1,10,-1,13347.8,18,1,86340,135970,0
293,994900,0,742,1,746180,9700.3,14,1,155460,201910,1
294,842000,0,747,10,721730,9262.2,24.4,0,34660,122480,1
295,1750100,0,-1,4,-1,10647.5,23.1,0,367310,539370,1
296,413800,0,-1,10,-1,15856.3,21,0,50050,112210,0
297,10000000,0,727,10,983860,11232.4,12.6,0,127410,163760,1
298,2013400,0,-1,6,-1,7546.9,14.6,0,112280,221450,0
299,1002300,0,699,10,420970,4385.1,13.4,1,39320,53130,1
300,10000000,0,721,1,326820,4248.6,14.9,0,60940,192240,1
301,1204400,1,737,10,539730,9670.2,15.3,0,207880,537150,0
302,1616300,0,748,1,666730,7445.2,36.8,0,16550,82740,1
303,959300,0,-1,5,-1,6762,13,0,72960,135860,1
304,735900,0,661,2,361820,7718.9,26.5,0,19980,44400,1
305,399700,0,740,1,379730,1050.6,13.5,0,45660,93940,1
306,787600,0,-1,7,-1,11983.5,19.5,0,24280,33530,1
307,787000,0,734,1,934610,6752.6,15.8,0,187550,244850,1
308,1505900,0,709,10,853320,9884.2,18.2,0,173700,196720,0
309,598500,0,715,2,329180,2633.4,19,0,111520,156630,1
310,1567500,1,686,10,352690,4908.3,13.4,0,65490,70580,1
311,2088700,0,-1,8,-1,20348.6,25.6,0,233570,695150,0
312,10000000,0,730,-1,375930,7017.4,19.9,0,226900,296990,1
313,1498700,0,-1,2,-1,8342.5,33,0,140920,572850,1
314,2516000,0,748,3,603840,15045.7,29,0,3325240,14520680,1
315,1783400,0,740,7,455770,9229.3,12,0,130300,220850,1
316,2644400,1,589,8,735230,11947.4,17.9,0,188350,257650,1
317,593500,0,730,5,860600,10542.4,21,1,152990,319390,0
318,3032700,1,-1,1,-1,6735.2,16.6,0,215170,613020,1
319,1202800,0,721,5,1202760,10123.2,9.5,0,119780,193510,1
320,10000000,0,750,9,741830,2979.7,16.8,0,133490,855690,1
321,1204800,0,-1,10,-1,10673.5,20.8,0,139880,177740,1
322,10000000,0,705,1,417380,2852.1,11.9,0,81230,166790,1
323,470700,0,727,1,470690,2306.4,14.9,0,28580,29440,1
324,1959000,0,687,10,685650,16284.2,33.1,0,319700,359610,1
325,1484900,0,690,5,737550,9035,11.9,4,40900,119940,0
326,10000000,1,718,10,778050,14718.1,15.6,0,37610,39920,1
327,1473900,0,-1,5,-1,3786.3,5.2,0,120280,481120,1
328,1125900,0,735,3,342650,882.4,20.5,0,44070,209880,1
329,444600,0,744,10,503930,1717.6,17.7,0,5540,24740,0
330,1489800,0,739,6,442160,3979.4,15.6,0,83450,252110,1
331,907400,0,704,4,378290,7786.4,8.6,0,100320,123700,1
332,665000,0,-1,7,-1,2873.4,13.5,1,51520,154260,1
333,2499800,1,676,10,679930,12408.8,16.7,0,227480,289040,1
334,1009200,0,745,-1,641550,5105.7,21,0,52240,162750,1
335,735100,0,680,7,265460,3207.7,9.5,0,88370,176740,1
336,2973900,0,-1,6,-1,5777.4,12.3,0,220500,268580,0
337,10000000,1,719,7,988100,6817.9,17.5,1,333710,406970,1
338,882200,0,731,3,551710,8229.6,15.7,0,132390,208810,1
339,1242900,0,737,2,459410,4287.8,11.3,0,182510,299690,1
340,1193000,1,709,10,497100,7705.1,32.5,0,418730,900490,1
341,1217500,0,743,10,811680,6831.6,15.1,0,147290,225210,1
342,1201800,0,742,10,701050,7127.4,13.6,1,117620,162230,1
343,2113200,1,701,5,575600,9641.4,17,0,216940,369570,1
344,1527500,0,-1,1,-1,10098.2,21.2,0,64560,451470,1
345,1199900,1,690,4,499950,6374.4,12.5,0,76020,106920,1
346,1479300,0,724,4,374760,8369.6,10,0,58930,219050,0
347,521400,0,-1,10,-1,2346.9,19.1,0,15690,201160,1
348,2645200,1,-1,10,-1,15042.5,26,0,165640,338730,1
349,886900,0,727,5,739480,2619,6.7,0,69960,113940,0
350,1469700,0,726,4,911210,14199.8,15.5,0,27950,55800,0
351,2813400,1,680,4,1004800,8708.3,19.7,0,97490,203100,1
352,563600,0,708,1,452880,9208.6,21.7,0,277650,371180,0
353,323700,0,693,1,708050,5109.8,13.7,0,27850,35380,1
354,2481700,0,-1,6,-1,13049.1,29.3,0,306630,329710,1
355,1612900,1,662,5,333370,7111.9,15.8,0,124230,230480,1
356,1193400,1,712,10,868200,24237.3,22.7,0,632670,1033770,0
357,3457000,0,-1,4,-1,19367.1,15.3,0,188880,446520,1
358,1982000,1,-1,2,-1,10256.9,15,0,204790,277490,0
359,1499100,0,-1,2,-1,1710.7,26.5,0,75690,186900,1
360,1005000,0,713,4,301500,8467.1,13.2,0,118710,154770,1
361,10000000,1,671,6,520050,8927.6,10.7,0,113750,204960,1
362,2299600,1,661,-1,603180,18095.4,20.8,0,215620,403020,1
363,1015100,0,725,9,629360,5716.7,26.2,1,68780,260550,1
364,727700,0,-1,-1,-1,6460.1,28.1,0,64570,155600,0
365,1814000,1,634,2,652340,10600.5,11.8,0,48320,55230,1
366,1006300,0,-1,3,-1,7631.1,18.2,1,65570,295360,1
367,400600,0,739,1,310500,1192.8,9.9,0,16770,112530,1
368,1962400,1,-1,7,-1,5298.5,27.3,0,91880,95220,1
369,10000000,1,733,7,294210,4442.6,11.4,0,92600,108300,1
370,814800,0,749,6,1782380,10426.9,27.1,0,79800,1352540,1
371,299800,0,715,1,289770,2945.9,20.7,1,68250,107980,1
372,948400,0,-1,4,-1,7442.1,15.4,3,50890,196470,0
373,10000000,1,681,1,931860,17084.1,14.4,0,274830,434860,1
374,3439800,1,668,10,1267810,16481.6,14,0,333670,486400,1
375,972100,0,747,6,354410,5020.8,21.6,0,102560,119530,1
376,499300,0,730,9,798880,6923.6,10.6,1,27030,128110,1
377,10000000,1,715,10,589980,9095.5,27.1,0,143230,164250,1
378,2398800,1,691,10,1079460,17091.5,12.1,0,272140,364810,0
379,2076300,1,700,1,698740,1677,15.2,0,55450,69830,1
380,2217800,1,734,2,475250,6514.9,27.4,0,178310,440270,1
381,888500,0,746,2,375140,7221.4,9.5,0,21990,415000,1
382,497800,0,688,1,148610,2092.9,26.4,0,94990,285250,1
383,883900,0,738,4,933000,7852.7,18.8,0,316850,385930,1
384,1823400,0,742,10,921830,18206.1,17,0,118710,171310,1
385,1658700,1,739,-1,487850,7480.4,15.8,0,161150,567420,1
386,10000000,0,746,10,1110010,25807.7,26.2,0,244440,357370,1
387,646300,0,732,1,252480,6332.9,19.9,0,80250,243170,0
388,219300,0,655,3,414630,1544.5,10,0,61940,133500,1
389,1976000,0,724,1,1007760,8985.9,11.9,0,100020,327920,1
390,10000000,0,662,5,607080,3551.4,12.4,1,130720,161990,1
391,395200,0,718,1,256850,1294.9,5,0,44470,90930,1
392,1716000,1,728,1,561770,12218.5,32.4,0,31410,592610,1
393,1964600,1,741,10,962650,15482.7,20.4,0,497380,1143400,0
394,10000000,0,741,10,1052940,8511.3,13.2,0,162640,329240,1
395,1614200,0,-1,2,-1,10477.4,11.9,0,210790,556180,1
396,1826600,1,673,2,639320,4193,19.6,0,53780,55790,1
397,10000000,1,726,10,1505250,10724.9,29.5,0,330890,517840,1
398,10000000,1,680,10,870940,12628.6,33.5,0,363900,648670,1
399,490300,0,745,1,402050,3986.9,12,0,32200,142490,1
400,10000000,0,742,10,980000,9310,11.8,0,147420,185200,1
401,980500,0,741,5,626970,16562.5,34.5,0,202360,272720,1
402,1192100,0,-1,6,-1,3525.6,23,0,124990,189670,1
403,3534300,1,679,2,4544100,13177.9,15.6,0,402760,496000,1
404,1017900,0,726,7,559850,11850.1,11.5,0,134100,152740,1
405,1842100,1,728,10,440060,9644.7,22.8,0,108480,212700,1
406,1797800,1,-1,5,-1,6069,17.3,0,255020,473140,0
407,719600,0,724,4,349830,8279.2,9.4,0,57960,126830,1
408,1787600,0,720,3,834200,14946.2,16.8,0,157560,189590,1
409,10000000,0,699,10,536690,7290,18.4,2,100180,195280,1
410,2404100,0,-1,6,-1,6289.9,14,0,173280,438690,1
